Index,Word,POS,Meaning
1949,who,疑問詞,誰
1950,whose,疑問詞,誰的
1951,why,疑問詞,為什麼
1952,wide,形容詞,寬的
1953,wife,名詞,妻子
1954,wild,形容詞,野生的；狂野的
1955,win,動詞,贏得
1956,wind,名詞,風
1957,window,名詞,窗戶
1958,windy,形容詞,多風的
1959,wing,名詞,翅膀
1960,winner,名詞,贏家
1961,winter,名詞,冬天
1962,wise,形容詞,有智慧的
1963,wish,動詞,希望
1964,with,介系詞,和…一起；用…
1965,without,介系詞,沒有…
1966,wok,名詞,炒鍋
1967,wolf,名詞,狼
1968,woman,名詞,女人
1969,women’s room,名詞,女廁
1970,wonderful,形容詞,美妙的
1971,wood,名詞,木材
1972,woods,名詞,樹林
1973,word,名詞,字詞
1974,workbook,名詞,練習本
1975,worm,名詞,蠕蟲
1976,worry,動詞,擔心
1977,wound,名詞,創傷；傷口
1978,wrist,名詞,手腕
1979,write,動詞,書寫
1980,writer,名詞,作家
1981,wrong,形容詞,錯誤的
1982,yard,名詞,院子
1983,yard,名詞,碼
1984,year,名詞,年
1985,yell,動詞,大叫
1986,yellow,名詞,黃色
1987,yesterday,名詞,昨天
1988,yet,副詞,尚未；但是
1989,you,代名詞,(主/受格)你；你們
1990,young,形容詞,年輕的
1991,your,所有格,你的；你們的
1992,your,所有格,你的；你們的
1993,yours,代名詞,你的；你們的
1994,yourself,代名詞,你自己
1995,yourselves,代名詞,你們自己
1996,youth,名詞,青年
1997,yummy,形容詞,好吃的
1998,zebra,名詞,斑馬
1999,zero,名詞,零
2000,zoo,名詞,動物園
